Vorname,Anzahl,Geschlecht
Ilay,4,w
Ilayda,4,w
Ilda,4,w
Ilektra,4,w
Ilena,4,w
Ilenia,4,w
Ileya,4,w
Ilham,4,w
Iliana,4,w
Ilinca,4,w
Iliz,4,w
Ilma,4,w
Ilvy,4,w
Imani,4,w
Ina,4,w
Inaaya,4,w
Inaia,4,w
Inara,4,w
Inas,4,w
Inba,4,w
Ines,4,w
Inés,4,w
Ingrid,4,w
Inla,4,w
Insa,4,w
Ioana-Ozana,4,w
Ioanna,4,w
Ioanna-Eirini,4,w
Ioli,4,w
Iona,4,w
Iosifina,4,w
İpek,4,w
Ira,4,w
Iraia,4,w
Iraida,4,w
Iram,4,w
Irene,4,w
Iria,4,w
Irida,4,w
Irina,4,w
Irini,4,w
Irma,4,w
Isabela-Maria,4,w
Isabell,4,w
Isabell-Clara,4,w
Ishani,4,w
Ishitha,4,w
Isis,4,w
Isla,4,w
Isolde,4,w
Isra,4,w
Israa,4,w
Ithar,4,w
Ivana,4,w
Ivanka,4,w
Ivanna,4,w
Ivanshi,4,w
Ivien,4,w
Iyanu,4,w
Iye,4,w
Iyra,4,w
Izabel,4,w
Izabela,4,w
Jada,4,w
Jade,4,w
Jade-Faye,4,w
Jaimie,4,w
Jaine,4,w
Jaliya,4,w
Jamie-Lou,4,w
Jamila,4,w
Janah,4,w
Janan,4,w
Jane,4,w
Janika,4,w
Janna,4,w
Jannah,4,w
Jannat,4,w
Janne,4,w
Jaqueline,4,w
Jara,4,w
Jasmina,4,w
Jasvika,4,w
Jayla,4,w
Jázmin,4,w
Jehan,4,w
Jelena,4,w
Jella,4,w
Jemima,4,w
Jennifer,4,w
Jerina,4,w
Jessica,4,w
Jioanna,4,w
Jivana,4,w
Joana,4,w
Joanna,4,w
Jolie,4,w
Jolina,4,w
Jolynn,4,w
Jona,4,w
Jonila,4,w
Jonna,4,w
Jordana,4,w
Jordyn,4,w
Josefa,4,w
Josefina,4,w
Josepha,4,w
Josephina,4,w
Josie,4,w
Josine,4,w
Joud,4,w
Joury,4,w
Jovana,4,w
Joy,4,w
Joya-Anabel,4,w
Juanita,4,w
Judy,4,w
Jule,4,w
Juli,4,w
Juliana,4,w
Juliane,4,w
Julie,4,w
Juliet,4,w
Juliette,4,w
